Número;Gis_X;Gis_Y;Fecha de Alta;Distrito;Barrio;Calle;Nº Finca;Tipo de Reserva;Línea / Batería;Número de Plazas;Texto Cajetines
01.02;441044,08;4475402,92;01-01-00;01  CENTRO;01-04 JUSTICIA;GENOVA, CALLE, DE;6;Taxi;Línea;2;
01.04;439299,36;4475722,88;26-01-15;01  CENTRO;01-05 UNIVERSIDAD;PRINCESA, CALLE, DE LA;56;Taxi;Línea;8;
01.05;439916,81;4473644,14;28-11-08;01  CENTRO;01-02 EMBAJADORES;TOLEDO, CALLE, DE;61;Taxi;Batería;7;
01.08;440504,17;4473353,06;01-07-10;01  CENTRO;01-02 EMBAJADORES;LAVAPIES, PLAZA, DEL;8;Taxi;Línea;4;
01.11 a;440968,67;4474059;03-05-11;01  CENTRO;01-03 CORTES;DUQUE DE MEDINACELI, CALLE, DEL;6;Taxi;Línea;9;
01.11 b;440974,8;4474009,13;03-03-11;01  CENTRO;01-03 CORTES;DUQUE DE MEDINACELI, CALLE, DEL;12;Taxi;Línea;5;
01.17;441329,99;4475203,19;21-12-09;01  CENTRO;01-04 JUSTICIA;GENOVA, CALLE, DE;28;Taxi;Línea;5;
01.18;439413,92;4475737,02;24-06-04;01  CENTRO;01-05 UNIVERSIDAD;SERRANO JOVER, CALLE, DE;5;Taxi;Línea;6;
01.24;439799,99;4474569,28;02-08-16;01  CENTRO;01-01 PALACIO;SANTO DOMINGO, CUESTA, DE;5;Taxi;Línea;3;
01.29;439823,46;4474828,07;23-04-97;01  CENTRO;01-01 PALACIO;ISABEL LA CATOLICA, CALLE, DE;19;Taxi;Línea;4;
01.40;440311,39;4474504,28;08-02-06;01  CENTRO;01-06 SOL;SALUD, CALLE, DE LA;9;Taxi;Línea;6;
01.41;440618,76;4474272,54;24-04-07;01  CENTRO;01-03 CORTES;ARLABAN, CALLE, DE;4;Taxi;Línea;3;
01.43;441152,5;4473477,13;01-07-10;01  CENTRO;01-03 CORTES;ATOCHA, CALLE, DE;123 B;Taxi;Batería;2;
01.45 a;440546,35;4475327,19;10-05-11;01  CENTRO;01-04 JUSTICIA;BARCELO, CALLE, DE;3;Taxi;Línea;9;
01.45 b;440622,72;4475359,36;01-07-14;01  CENTRO;01-04 JUSTICIA;BARCELO, CALLE, DE;9;Taxi;Línea;2;LAB. DE 8 A 20 H. EXCEPTO TRANSPORTE URBANO DE MERCANCIAS PERMITIDO TAXIS DE MIERCOLES A DOMINGO DE 20 A 8 H
01.46;440494,39;4473973,02;03-03-09;01  CENTRO;01-03 CORTES;ANGEL, PLAZA, DEL;8;Taxi;Línea;2;
01.47;440559,94;4475019,9;14-05-12;01  CENTRO;01-05 UNIVERSIDAD;FUENCARRAL, CALLE, DE;49;Taxi;Línea;2;
01.51;439838,72;4474684,34;14-07-17;01  CENTRO;01-01 PALACIO;SANTO DOMINGO, PLAZA, DE;9;Taxi;Línea;1;
01.52;441211,74;4473311,85;09-02-10;01  CENTRO;01-02 EMBAJADORES;EMPERADOR CARLOS V, PLAZA, DEL;8;Taxi;Línea;6;
01.54;440321,98;4474030,67;27-12-10;01  CENTRO;01-06 SOL;CARRETAS, CALLE, DE LAS;14;Taxi;Línea;2;
01.55;441059,61;4474064,26;28-01-11;01  CENTRO;01-03 CORTES;CANOVAS DEL CASTILLO, PLAZA, DE;5;Taxi;Línea;4;
01.56;439803,76;4474446,91;01-03-11;01  CENTRO;01-01 PALACIO;ISABEL II, PLAZA, DE;5;Taxi;Línea;3;
01.58;440147,76;4474216,2;27-12-12;01  CENTRO;01-06 SOL;MAYOR, CALLE;5;Taxi;Línea;7;
01.60;439634,82;4473663,49;11-10-13;01  CENTRO;01-01 PALACIO;SAN FRANCISCO, CARRERA, DE;2;Taxi;Línea;3;
01.62;440805,5;4473686,18;05-02-15;01  CENTRO;01-03 CORTES;ATOCHA, CALLE, DE;83;Taxi;Línea;1;
01.63;439753;4474471,38;26-01-15;01  CENTRO;01-01 PALACIO;ARRIETA, CALLE, DE;6;Taxi;Línea;3;
01.64;441017,52;4474823,5;19-09-18;01  CENTRO;01-04 JUSTICIA;PRIM, CALLE, DE;1;Taxi;Línea;3;
02.01;440778,73;4472184,97;01-01-00;02  ARGANZUELA;02-03 CHOPERA;JAIME EL CONQUISTADOR, CALLE, DE;1;Taxi;Línea;3;
02.03;439579,99;4473107,93;08-02-11;02  ARGANZUELA;02-01 IMPERIAL;PUERTA DE TOLEDO, GLORIETA, DE LA;4;Taxi;Batería;2;
02.04 a;439527,47;4473162,26;05-02-15;02  ARGANZUELA;02-01 IMPERIAL;SEGOVIA, RONDA, DE;52;Taxi;Línea;2;
02.04 b;439515,03;4473169,3;05-02-15;02  ARGANZUELA;02-01 IMPERIAL;SEGOVIA, RONDA, DE;52;Taxi;Línea;2;DE LUNES A VIERNES LABORABLES DE 9 A 15H.
02.05;440436,32;4472890,98;01-07-10;02  ARGANZUELA;02-06 PALOS DE MOGUER;EMBAJADORES, CALLE, DE;57;Taxi;Línea;6;
02.14;442677,5;4471787,06;01-07-10;02  ARGANZUELA;02-07 ATOCHA;RETAMA, CALLE, DE LA;S/N;Taxi;Línea;14;
02.15;441678,3;4472547,73;03-01-07;02  ARGANZUELA;02-06 PALOS DE MOGUER;CANARIAS, CALLE, DE LAS;S/N;Taxi;Línea;3;
02.17;441036,26;4471433,2;20-04-07;02  ARGANZUELA;02-05 DELICIAS;LEGAZPI, PLAZA, DE;2;Taxi;Batería;10;
02.20;442435,77;4471460,81;21-01-15;02  ARGANZUELA;02-04 LEGAZPI;TITAN, CALLE, DE;S/N;Taxi;Línea;2;
02.21;441154,14;4472816,37;26-11-10;02  ARGANZUELA;02-06 PALOS DE MOGUER;DELICIAS, PASEO, DE LAS;35;Taxi;Línea;2;
02.22;441434,81;4473023,39;15-12-10;02  ARGANZUELA;02-07 ATOCHA;MENDEZ ALVARO, CALLE, DE;S/N;Taxi;Línea;291;
02.23;438746;4473115,89;02-02-15;02  ARGANZUELA;02-01 IMPERIAL;VIRGEN DEL PUERTO, PASEO, DE LA;57;Taxi;Línea;3;
02.24;441983,39;4472205,92;27-08-12;02  ARGANZUELA;02-05 DELICIAS;MENDEZ ALVARO, CALLE, DE;44;Taxi;Línea;10;DE 8 A 20 HORAS
02.25;441222,95;4473165,23;14-10-13;02  ARGANZUELA;02-07 ATOCHA;MENDEZ ALVARO, CALLE, DE;1;Taxi;Línea;5;
02.26;442314,06;4471400,19;17-01-15;02  ARGANZUELA;02-04 LEGAZPI;TITAN, CALLE, DE;13;Taxi;Línea;3;
03.07;442659,23;4474412,13;01-01-00;03  RETIRO;03-04 IBIZA;IBIZA, CALLE, DE;21;Taxi;Línea;4;
03.09;442546,35;4473955,71;05-08-97;03  RETIRO;03-06 NIÑO JESÚS;MENENDEZ PELAYO, AVENIDA, DE;65;Taxi;Línea;6;
03.10;442658,15;4474727,7;11-12-08;03  RETIRO;03-04 IBIZA;NARVAEZ, CALLE, DE;29;Taxi;Línea;4;
03.11;441261,97;4474191,75;01-01-00;03  RETIRO;03-05 JERÓNIMOS;LEALTAD, PLAZA, DE LA;2;Taxi;Batería;6;
03.13;442647,29;4473055,74;01-01-00;03  RETIRO;03-01 PACÍFICO;CAVANILLES, CALLE, DE;21;Taxi;Línea;2;
03.16;443352,51;4473848,61;17-01-15;03  RETIRO;03-03 ESTRELLA;PEZ VOLADOR, CALLE, DEL;13;Taxi;Línea;2;
03.18;443210,26;4474446,97;07-06-00;03  RETIRO;03-04 IBIZA;DOCTOR ESQUERDO, CALLE, DEL;46;Taxi;Línea;8;
03.22;442997,12;4474732,36;01-07-10;03  RETIRO;03-04 IBIZA;O'DONNELL, CALLE, DE;48;Taxi;Línea;4;
03.25;443237,12;4473802,66;08-05-09;03  RETIRO;03-03 ESTRELLA;PEZ VOLADOR, CALLE, DEL;3;Taxi;Línea;4;
03.26;442911,32;4474549,19;15-04-10;03  RETIRO;03-04 IBIZA;MAIQUEZ, CALLE, DE;7;Taxi;Línea;3;
03.27;442385,73;4474560,11;26-10-10;03  RETIRO;03-04 IBIZA;MENENDEZ PELAYO, AVENIDA, DE;19;Taxi;Línea;2;
03.28;443236;4474357,17;21-05-12;03  RETIRO;03-03 ESTRELLA;DOCTOR ESQUERDO, CALLE, DEL;83;Taxi;Línea;4;
03.32;441269,21;4474067,32;02-07-13;03  RETIRO;03-05 JERÓNIMOS;FELIPE IV, CALLE, DE;1;Taxi;Línea;4;DE 10:00 A 20:00 H
03.33;443208,22;4473131,63;16-07-08;03  RETIRO;03-03 ESTRELLA;MEDITERRANEO, AVENIDA, DEL;43;Taxi;Línea;7;
03.35;443203,13;4474598,19;24-07-15;03  RETIRO;03-04 IBIZA;DOCTOR CASTELO, CALLE, DEL;51;Taxi;Línea;5;
03.35;442968,11;4474607,02;14-12-17;03  RETIRO;03-04 IBIZA;DOCTOR CASTELO, CALLE, DEL;54;Taxi;Línea;8;
03.36;441222,61;4474442,75;21-12-18;03  RETIRO;03-05 JERÓNIMOS;PRADO, PASEO, DEL;1;Taxi;Línea;4;
04.01;443279,6;4474960,68;01-01-00;04  SALAMANCA;04-03 FUENTE DEL BERRO;DOCTOR ESQUERDO, CALLE, DEL;47;Taxi;Línea;3;
04.02;442587,16;4475142,23;04-12-96;04  SALAMANCA;04-02 GOYA;GOYA, CALLE, DE;87;Taxi;Línea;8;
04.03;441863,55;4476309,45;20-12-17;04  SALAMANCA;04-06 CASTELLANA;CLAUDIO COELLO, CALLE, DE;139;Taxi;Línea;3;
04.04;442538,86;4475999,19;19-01-15;04  SALAMANCA;04-05 LISTA;JUAN BRAVO, CALLE, DE;41;Taxi;Línea;9;
04.05;442641,44;4475991,74;21-01-15;04  SALAMANCA;04-05 LISTA;JUAN BRAVO, CALLE, DE;49 A;Taxi;Línea;4;
04.06;443225,84;4475488,27;16-12-06;04  SALAMANCA;04-02 GOYA;MANUEL BECERRA, PLAZA, DE;4;Taxi;Línea;4;
04.07;441507,76;4475231,71;27-03-06;04  SALAMANCA;04-01 RECOLETOS;GOYA, CALLE, DE;1;Taxi;Línea;4;
04.08;442118,27;4475174,52;07-07-18;04  SALAMANCA;04-01 RECOLETOS;GOYA, CALLE, DE;47;Taxi;Línea;2;DE 10:00 A.M A 08:00 A.M.
04.09;442355,61;4475159,11;04-10-01;04  SALAMANCA;04-02 GOYA;GOYA, CALLE, DE;67;Taxi;Línea;4;
04.10;442060,43;4475746,44;01-12-04;04  SALAMANCA;04-06 CASTELLANA;JOSE ORTEGA Y GASSET, CALLE, DE;29;Taxi;Línea;9;
04.12;441833,29;4475196,64;17-01-15;04  SALAMANCA;04-01 RECOLETOS;GOYA, CALLE, DE;25;Taxi;Línea;5;
04.13;442012,69;4475181,99;17-01-15;04  SALAMANCA;04-01 RECOLETOS;GOYA, CALLE, DE;37;Taxi;Línea;7;
04.14;442224,75;4475168,86;29-01-15;04  SALAMANCA;04-01 RECOLETOS;GOYA, CALLE, DE;57;Taxi;Línea;5;
04.15 a;442457,91;4475151,91;18-07-00;04  SALAMANCA;04-02 GOYA;GOYA, CALLE, DE;77;Taxi;Línea;4;
04.15 b;442482,71;4475149,72;29-01-15;04  SALAMANCA;04-02 GOYA;GOYA, CALLE, DE;79;Taxi;Línea;4;
04.17;441998,81;4475486,01;01-01-00;04  SALAMANCA;04-01 RECOLETOS;VELAZQUEZ, CALLE, DE;58;Taxi;Línea;8;
